"DENOMINAZI","classi_eta","ita_f","ita_m","stran_f","stran_m","fem","man","totage","femASL","manASL","sumgenASL","sumageASL","hpt_fem","hpt_male","hpt","nohpt","hptASL","nohptASL","sumhptASL","hf_fem","hf_male","hf","nohf","hfASL","nohfASL","sumhfASL"
"ROMA 4","""40_44""",11449,11106,2354,2218,13803,13324,27127,183637,175639,359276,359276,305,525,830,26297,64012,295264,359276,7,19,26,27101,4695,354581,359276
"ROMA 4","""45_49""",14147,13362,2214,1922,16361,15284,31645,183637,175639,359276,359276,891,1290,2181,29464,64012,295264,359276,22,48,70,31575,4695,354581,359276
"ROMA 4","""50_54""",14773,14268,2125,1683,16898,15951,32849,183637,175639,359276,359276,1855,2530,4385,28464,64012,295264,359276,31,96,127,32722,4695,354581,359276
"ROMA 4","""55_59""",13929,13659,1253,1013,15182,14672,29854,183637,175639,359276,359276,2793,3793,6586,23268,64012,295264,359276,61,164,225,29629,4695,354581,359276
"ROMA 4","""60_64""",11169,10929,948,636,12117,11565,23682,183637,175639,359276,359276,3476,4187,7663,16019,64012,295264,359276,82,234,316,23366,4695,354581,359276
"ROMA 4","""65_69""",9552,8927,498,316,10050,9243,19293,183637,175639,359276,359276,3999,4441,8440,10853,64012,295264,359276,161,300,461,18832,4695,354581,359276
"ROMA 4","""70_74""",8853,7892,276,171,9129,8063,17192,183637,175639,359276,359276,4869,4784,9653,7539,64012,295264,359276,262,400,662,16530,4695,354581,359276
"ROMA 4","""75_79""",7517,6251,143,70,7660,6321,13981,183637,175639,359276,359276,4884,4183,9067,4914,64012,295264,359276,378,424,802,13179,4695,354581,359276
"ROMA 4","""80_84""",6176,4755,92,46,6268,4801,11069,183637,175639,359276,359276,4402,3352,7754,3315,64012,295264,359276,443,441,884,10185,4695,354581,359276
"ROMA 4","""85_100""",6146,3288,47,25,6193,3313,9506,183637,175639,359276,359276,4460,2385,6845,2661,64012,295264,359276,688,397,1085,8421,4695,354581,359276
"ROMA 5","""00_04""",9098,9631,1582,1707,10680,11338,22018,277664,272590,550254,550254,4,5,9,22009,104506,445748,550254,0,5,5,22013,7869,542385,550254
"ROMA 5","""05_09""",11229,12162,1824,2071,13053,14233,27286,277664,272590,550254,550254,13,19,32,27254,104506,445748,550254,0,0,0,27286,7869,542385,550254
"ROMA 5","""10_14""",12611,13261,1830,1905,14441,15166,29607,277664,272590,550254,550254,23,19,42,29565,104506,445748,550254,0,4,4,29603,7869,542385,550254
"ROMA 5","""15_19""",11857,12914,1330,1464,13187,14378,27565,277664,272590,550254,550254,23,49,72,27493,104506,445748,550254,0,5,5,27560,7869,542385,550254
"ROMA 5","""20_24""",11409,12521,1176,1614,12585,14135,26720,277664,272590,550254,550254,35,49,84,26636,104506,445748,550254,5,5,10,26710,7869,542385,550254
"ROMA 5","""25_29""",12040,12883,1730,1856,13770,14739,28509,277664,272590,550254,550254,36,72,108,28401,104506,445748,550254,0,5,5,28504,7869,542385,550254
"ROMA 5","""30_34""",13866,14280,2574,2728,16440,17008,33448,277664,272590,550254,550254,107,152,259,33189,104506,445748,550254,4,13,17,33431,7869,542385,550254
"ROMA 5","""35_39""",15243,15765,3139,3444,18382,19209,37591,277664,272590,550254,550254,242,438,680,36911,104506,445748,550254,10,18,28,37563,7869,542385,550254
"ROMA 5","""40_44""",17572,17683,3382,3665,20954,21348,42302,277664,272590,550254,550254,685,1050,1735,40567,104506,445748,550254,15,31,46,42256,7869,542385,550254
"ROMA 5","""45_49""",20429,20355,3088,3063,23517,23418,46935,277664,272590,550254,550254,1652,2392,4044,42891,104506,445748,550254,24,88,112,46823,7869,542385,550254
"ROMA 5","""50_54""",21172,20669,2885,2596,24057,23265,47322,277664,272590,550254,550254,3251,4257,7508,39814,104506,445748,550254,69,147,216,47106,7869,542385,550254
"ROMA 5","""55_59""",20128,19653,1609,1340,21737,20993,42730,277664,272590,550254,550254,4993,6183,11176,31554,104506,445748,550254,116,261,377,42353,7869,542385,550254
"ROMA 5","""60_64""",16893,16347,1205,838,18098,17185,35283,277664,272590,550254,550254,6164,7108,13272,22011,104506,445748,550254,159,387,546,34737,7869,542385,550254
"ROMA 5","""65_69""",14378,13632,597,419,14975,14051,29026,277664,272590,550254,550254,7199,7486,14685,14341,104506,445748,550254,267,496,763,28263,7869,542385,550254
"ROMA 5","""70_74""",13082,11984,331,174,13413,12158,25571,277664,272590,550254,550254,8059,7593,15652,9919,104506,445748,550254,446,619,1065,24506,7869,542385,550254
"ROMA 5","""75_79""",10121,8434,132,75,10253,8509,18762,277664,272590,550254,550254,7156,5869,13025,5737,104506,445748,550254,627,615,1242,17520,7869,542385,550254
"ROMA 5","""80_84""",8825,6635,80,32,8905,6667,15572,277664,272590,550254,550254,6707,4859,11566,4006,104506,445748,550254,803,711,1514,14058,7869,542385,550254
"ROMA 5","""85_100""",9163,4765,54,25,9217,4790,14007,277664,272590,550254,550254,7047,3510,10557,3450,104506,445748,550254,1255,659,1914,12093,7869,542385,550254
"ROMA 6","""00_04""",10255,10749,1420,1442,11675,12191,23866,318332,310109,628441,628441,6,7,13,23853,115049,513392,628441,6,7,13,23853,9449,618992,628441
"ROMA 6","""05_09""",12807,13613,1596,1795,14403,15408,29811,318332,310109,628441,628441,9,20,29,29782,115049,513392,628441,4,0,4,29807,9449,618992,628441
"ROMA 6","""10_14""",14474,15404,1534,1662,16008,17066,33074,318332,310109,628441,628441,17,26,43,33031,115049,513392,628441,0,0,0,33074,9449,618992,628441
"ROMA 6","""15_19""",13807,14645,1082,1290,14889,15935,30824,318332,310109,628441,628441,28,54,82,30742,115049,513392,628441,0,5,5,30819,9449,618992,628441
"ROMA 6","""20_24""",13252,14186,973,1435,14225,15621,29846,318332,310109,628441,628441,37,43,80,29766,115049,513392,628441,5,4,9,29837,9449,618992,628441
"ROMA 6","""25_29""",13471,14293,1501,1860,14972,16153,31125,318332,310109,628441,628441,42,81,123,31002,115049,513392,628441,6,7,13,31112,9449,618992,628441
